post_id,post_handle,post,post_timestamp
twitter_0735057d44610df6,,"Unsafe abortion is the major cause of maternal deaths, especially among adolescents. Do you think abortion should be safe and accessible regardless of the age?",
twitter_7c3277bd04c82fa4,,"I am thankful that PP clinics are closing, but please hear me when I say it is no victory. 
The clinics moved into the home of these mothers via abortion pills by mail.
Anonymity and discretion will only exacerbate the murder of the pre born. Church, we must fight for equal",
twitter_d813488c05fa3895,,"""Someone who says I'm against abortion, but is in favor of the death penalty is not really pro-life...""
- Leo XIV, PP

So every single pope up until JP2 would NOT be considered pro-life",
twitter_0db5d3adfe5790a7,,"It’s been so surprising to find out the misconceptions people have about abortion and everything surrounding it,women need to be  better educated on their options and how it “costs” if there’s any payment at all.",
twitter_aa29b185c07e7dda,,"You call yourself ""pro-life,"" but you don't buy my groceries, so can you really say you're pro-life?

I don't think so.",
twitter_7a9e55165fdf6d88,,The fight of Planned Parenthood’s life isn’t on the horizon—it’s here. And we’re in it until abortion is both unthinkable and unnecessary.,
twitter_bd0f5c96a2340877,,"I would like to quote Pope Leo:

""Someone who says, 'I'm against abortion, ' but in favor of the death penalty is not really pro-life.""

Let it be written, let it be done!!!",
twitter_abfb4fb99cb8531e,,"The issue of safe abortion is not about health alone but also about reproductive justice 

~Barrister ifechi of lawyers alert",
twitter_878f58adf18fee0e,,"I may not be pro life anymore, but I am still radically opposed to abortion and euthanasia so at least I have that going for me",
twitter_64576260a3016229,,"I dispensed birth control no problem. It's not my place to decide FOR THEM their beliefs. I don't think there are ADEQUATE PRTECTIONS IN PLACE for the abortion pill, and I wouldn't stock it.",
twitter_7b326beaafa0a686,,"Just saw someone with a “PRO-LIFE” sticker run a stop sign, should change that to “ANTI-WOMEN” real quick if you’re gonna be doing shit like that",
twitter_b6241fe00c6ccabd,,"Poor stupid MAGA, they campaign vigorously for fetal rights, but they are unmoved by the rights of the former fetuses who live and die inhumanely by the thousands on the streets of American cities 🙄📷🙄",
twitter_ca0138aaee9c6261,,"Just if anyone wants to know about my political stances….
Fuck the obese carrot with a dementia lean 
Abortion is health care
IM NOT REPUBLICAN.",
twitter_7777a34ff4a21d0d,,It’s called a sterile concept of living bitch like I can have kids lmao you just are the most annoying person in tge world why would I ever be stuck with you like definitely would’ve got an abortion,
twitter_11ab0d1c18251423,,The bastards overturned Roe v Wade. Do you think they give a shit what you think or believe? When did people become so myopic that everything they want is the only way? So dichotic in our opinions that we are forced to react constantly lest the other tribe gain the upper hand.,
twitter_15388b8f406f036f,,That could’ve never been me tbh cuz I would’ve gotten an abortion. PROUDLY. You gotta be a damn fool to have a baby by a nigga with no job.,
twitter_da0686b085dd054f,,i think its funny how “just dont fuck!!” is such an easy answer for conservative males when it comes to abortion like we get it bro u dont get any,
twitter_63acacd624329d11,,"These dumb ass evangelicals are always out with signs “Pray to end abortion” and I’m like, bro I pray that abortion had ended me",
twitter_d0e5334347f2f79e,,"Y’all know abortion is a thing, right? If you don’t want the child, don’t have one??? You're gonna sit here and treat your kid like ABSOLUTE SHIT for what? You didn’t have to bring them into this world. Treating them like a burden, like they asked to be here? wtf🤣😂….",
twitter_a44817d9f822f56c,,"You’re not pro-life if you support the death penalty. 

You’re a gigantic hypocrite &amp; fake Christian.",
